Product Name,Plastic Type,Sustainable Alternative,Material Type,Price Range,Vendor,Benefit,SDG Alignment
Plastic bottle,PET,Glass bottle / Bamboo bottle,Glass / Bamboo,5%,GreenEarth Ltd,90% recyclable and reusable,"SDG 12, 13"
Plastic straw,PP,Paper straw / Rice straw,Paper / Rice,Same,EcoCraft,100% biodegradable,"SDG 12, 14"
Plastic bag,LDPE,Jute bag / Cloth bag,Jute / Cotton,Cheaper,BD JuteWorks,Reusable and compostable,"SDG 12, 13"
Plastic cutlery,PS,Wooden cutlery,Birch Wood,Same,BioWare,Fully compostable,"SDG 12, 15"
Plastic cup,PET,Corn starch cup,PLA (Bioplastic),10%,GreenCup,"Made from plants, biodegradable","SDG 12, 13"
Food packaging wrap,LDPE,Compostable cellulose film,Cellulose,8%,EcoWrap,Decomposes in 90 days,SDG 12
Plastic toothbrush,PP/Nylon,Bamboo toothbrush,Bamboo,Same,BambooSmile,Reduces landfill plastic,"SDG 12, 14"
Plastic container,HDPE,Aluminum / Glass container,Aluminum / Glass,Same,SustainPack,"100% recyclable, long lifespan",SDG 12
Plastic spoon,PS,Rice husk spoon,Rice Husk,Same,EcoUtensils,Biodegradable and heat resistant,"SDG 12, 15"
Plastic straw wrapper,PP,Recycled paper wrapper,Paper,Same,Paperly,Eco-friendly and compostable,SDG 12
Plastic takeout box,PP,Sugarcane pulp box,Bagasse,5%,GreenLeaf,Made from agro waste,"SDG 12, 13"
Plastic film,LDPE,Biodegradable film,PLA Film,10%,BioFlex,Reduces microplastic formation,SDG 13
Plastic packaging tray,PET,Mushroom packaging,Mycelium,15%,GrowPack,Fully compostable,"SDG 12, 15"
Plastic coffee stirrer,PS,Wooden stirrer,Wood,Same,EcoStick,100% biodegradable,SDG 12
Microplastic beads (cosmetics),PE,"Natural exfoliants (walnut shell, rice powder)",Organic,Same,PureNature,No microplastic pollution,SDG 14
Plastic wrapping film,PVC,PLA film,Bioplastic,5%,BioWrap,Compostable alternative,SDG 12
Plastic net bag,HDPE,Cotton mesh bag,Cotton,Same,GreenNet,"Reusable, washable",SDG 12
Plastic pen body,PP,Recycled cardboard / metal pen,Cardboard / Metal,Same,EcoWrite,"Recyclable, durable",SDG 12
Plastic packaging tape,PP,Paper-based tape,Paper,Same,EcoTape,Biodegradable and strong,SDG 12
Plastic hangers,PS,Wooden / recycled paper hangers,Wood / Paper,5%,GreenHome,"Long-lasting, compostable",SDG 12
